1619698706.382825, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13461936 lastrcv:13461936 lastack:13461936 unacked:1 rcv_ssthresh:42340
1619698706.411672, 	 reno wscale:8,9 rto:240 rtt:37.568/18.784 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 3.1Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 6.2Mbps busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:37.568
1619698706.439627, 	 reno wscale:8,9 rto:232 rtt:31.252/9.076 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 bytes_acked:17377 segs_out:36 segs_in:7 data_segs_out:34 send 8.2Mbps lastrcv:44 pacing_rate 16.3Mbps delivery_rate 5.1Mbps busy:44ms unacked:22 rcv_space:14480 rcv_ssthresh:42242 notsent:60816 minrtt:21.557
1619698706.466707, 	 reno wscale:8,9 rto:228 rtt:27.719/2.726 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:46 bytes_acked:52129 segs_out:83 segs_in:19 data_segs_out:81 send 19.2Mbps lastrcv:72 pacing_rate 38.4Mbps delivery_rate 9.8Mbps busy:72ms unacked:45 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:21.324
1619698706.494710, 	 reno wscale:8,9 rto:240 rtt:36.678/7.621 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:72 bytes_acked:89777 segs_out:134 segs_in:32 data_segs_out:132 send 22.7Mbps lastrcv:104 pacing_rate 45.5Mbps delivery_rate 9.2Mbps busy:104ms unacked:70 rcv_space:14480 rcv_ssthresh:42242 notsent:508248 minrtt:21.324
1619698706.533014, 	 reno wscale:8,9 rto:252 rtt:50.628/8.969 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:103 bytes_acked:134665 segs_out:197 segs_in:45 data_segs_out:195 send 23.6Mbps lastrcv:140 pacing_rate 47.1Mbps delivery_rate 9.8Mbps busy:140ms unacked:102 rcv_space:14480 rcv_ssthresh:42242 notsent:417024 minrtt:21.324
1619698706.562729, 	 reno wscale:8,9 rto:264 rtt:61.645/12.253 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:124 bytes_acked:165073 segs_out:239 segs_in:52 data_segs_out:237 send 23.3Mbps lastsnd:4 lastrcv:168 lastack:4 pacing_rate 46.6Mbps delivery_rate 9.7Mbps busy:168ms unacked:123 rcv_space:14480 rcv_ssthresh:42242 notsent:682008 minrtt:21.324
1619698706.593062, 	 reno wscale:8,9 rto:276 rtt:75.352/13.444 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:148 bytes_acked:199825 segs_out:287 segs_in:60 data_segs_out:285 send 22.8Mbps lastsnd:4 lastrcv:196 lastack:4 pacing_rate 45.5Mbps delivery_rate 9.8Mbps busy:196ms unacked:147 rcv_space:14480 rcv_ssthresh:42242 notsent:612504 minrtt:21.324
1619698706.619470, 	 reno wscale:8,9 rto:292 rtt:90.268/14.723 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:172 bytes_acked:234577 segs_out:335 segs_in:68 data_segs_out:333 send 22.1Mbps lastrcv:224 pacing_rate 44.1Mbps delivery_rate 9.6Mbps busy:224ms unacked:171 rcv_space:14480 rcv_ssthresh:42242 notsent:1064280 minrtt:21.324
1619698706.647755, 	 reno wscale:8,9 rto:304 rtt:103.281/15.034 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:193 bytes_acked:264985 segs_out:377 segs_in:75 data_segs_out:375 send 21.6Mbps lastrcv:248 pacing_rate 43.3Mbps delivery_rate 9.5Mbps busy:248ms unacked:192 rcv_space:14480 rcv_ssthresh:42242 notsent:1003464 minrtt:21.324
1619698706.674539, 	 reno wscale:8,9 rto:320 rtt:118.845/15.422 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:217 bytes_acked:299737 segs_out:425 segs_in:83 data_segs_out:423 send 21.2Mbps lastrcv:276 pacing_rate 42.3Mbps delivery_rate 9.4Mbps busy:276ms unacked:216 rcv_space:14480 rcv_ssthresh:42242 notsent:933960 minrtt:21.324
1619698706.700712, 	 reno wscale:8,9 rto:332 rtt:131.341/14.465 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:238 bytes_acked:330145 segs_out:467 segs_in:90 data_segs_out:465 send 21.0Mbps lastrcv:304 pacing_rate 42.0Mbps delivery_rate 9.4Mbps busy:304ms unacked:237 rcv_space:14480 rcv_ssthresh:42242 notsent:1589904 minrtt:21.324
1619698706.730597, 	 reno wscale:8,9 rto:348 rtt:145.584/13.662 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:262 bytes_acked:364897 segs_out:515 segs_in:98 data_segs_out:513 send 20.8Mbps lastsnd:4 lastrcv:336 lastack:4 pacing_rate 41.7Mbps delivery_rate 9.6Mbps busy:336ms unacked:261 rcv_space:14480 rcv_ssthresh:42242 notsent:1520400 minrtt:21.324
1619698706.761672, 	 reno wscale:8,9 rto:364 rtt:161.753/14.548 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:289 bytes_acked:403993 segs_out:569 segs_in:107 data_segs_out:567 send 20.7Mbps lastsnd:4 lastrcv:368 lastack:4 pacing_rate 41.4Mbps delivery_rate 9.5Mbps busy:368ms unacked:288 rcv_space:14480 rcv_ssthresh:42242 notsent:1442208 minrtt:21.324
1619698706.790036, 	 reno wscale:8,9 rto:376 rtt:175.439/12.81 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:313 bytes_acked:438745 segs_out:617 segs_in:115 data_segs_out:615 send 20.7Mbps lastsnd:4 lastrcv:396 lastack:4 pacing_rate 41.3Mbps delivery_rate 9.7Mbps busy:396ms unacked:312 rcv_space:14480 rcv_ssthresh:42242 notsent:1372704 minrtt:21.324
1619698706.817725, 	 reno wscale:8,9 rto:392 rtt:188.332/14.193 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:334 bytes_acked:469153 segs_out:659 segs_in:122 data_segs_out:657 send 20.5Mbps lastrcv:420 pacing_rate 41.1Mbps delivery_rate 9.6Mbps busy:420ms unacked:333 rcv_space:14480 rcv_ssthresh:42242 notsent:1311888 minrtt:21.324
1619698706.848669, 	 reno wscale:8,9 rto:408 rtt:205.22/14.627 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:361 bytes_acked:508249 segs_out:713 segs_in:131 data_segs_out:711 send 20.4Mbps lastrcv:452 pacing_rate 40.8Mbps delivery_rate 9.5Mbps busy:452ms unacked:360 rcv_space:14480 rcv_ssthresh:42242 notsent:2276256 minrtt:21.324
1619698706.877742, 	 reno wscale:8,9 rto:420 rtt:219.757/14.706 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:385 bytes_acked:543001 segs_out:761 segs_in:139 data_segs_out:759 send 20.3Mbps lastsnd:4 lastrcv:484 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.5Mbps busy:484ms unacked:384 rcv_space:14480 rcv_ssthresh:42242 notsent:2206752 minrtt:21.324
1619698706.906400, 	 reno wscale:8,9 rto:436 rtt:233.226/13.955 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:409 bytes_acked:577753 segs_out:809 segs_in:147 data_segs_out:807 send 20.3Mbps lastsnd:4 lastrcv:516 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.6Mbps busy:516ms unacked:408 rcv_space:14480 rcv_ssthresh:42242 notsent:2137248 minrtt:21.324
1619698706.941239, 	 reno wscale:8,9 rto:452 rtt:250.497/15.026 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:436 bytes_acked:616849 segs_out:863 segs_in:156 data_segs_out:861 send 20.2Mbps lastrcv:544 pacing_rate 40.3Mbps delivery_rate 9.5Mbps busy:544ms unacked:435 rcv_space:14480 rcv_ssthresh:42242 notsent:2059056 minrtt:21.324
1619698706.969265, 	 reno wscale:8,9 rto:468 rtt:264.131/13.918 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:460 bytes_acked:651601 segs_out:911 segs_in:164 data_segs_out:909 send 20.2Mbps lastrcv:572 pacing_rate 40.3Mbps delivery_rate 9.6Mbps busy:572ms unacked:459 rcv_space:14480 rcv_ssthresh:42242 notsent:1989552 minrtt:21.324
1619698706.998216, 	 reno wscale:8,9 rto:480 rtt:278.949/13.715 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:484 bytes_acked:686353 segs_out:959 segs_in:172 data_segs_out:957 send 20.1Mbps lastsnd:4 lastrcv:604 lastack:4 pacing_rate 40.2Mbps delivery_rate 9.6Mbps busy:604ms unacked:483 rcv_space:14480 rcv_ssthresh:42242 notsent:1920048 minrtt:21.324
1619698707.026962, 	 reno wscale:8,9 rto:496 rtt:293.308/14.228 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:508 bytes_acked:721105 segs_out:1007 segs_in:180 data_segs_out:1005 send 20.1Mbps lastrcv:632 pacing_rate 40.1Mbps delivery_rate 9.6Mbps busy:632ms unacked:507 rcv_space:14480 rcv_ssthresh:42242 notsent:3284064 minrtt:21.324
1619698707.058253, 	 reno wscale:8,9 rto:512 rtt:309.632/14.116 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:535 bytes_acked:760201 segs_out:1061 segs_in:189 data_segs_out:1059 send 20.0Mbps lastrcv:664 pacing_rate 40.0Mbps delivery_rate 9.6Mbps busy:664ms unacked:534 rcv_space:14480 rcv_ssthresh:42242 notsent:3205872 minrtt:21.324
