1619715094.698509, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:29850264 lastrcv:29850264 lastack:29850264 unacked:1 rcv_ssthresh:42340
1619715094.745892, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:29850300 lastrcv:29850300 lastack:29850300 unacked:1 rcv_ssthresh:42340
1619715094.775859, 	 reno wscale:8,9 rto:244 rtt:41.27/22.023 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:12 bytes_acked:2897 segs_out:16 segs_in:2 data_segs_out:14 send 3.4Mbps lastrcv:20 pacing_rate 6.7Mbps delivery_rate 1.1Mbps app_limited busy:20ms unacked:12 rcv_space:14480 rcv_ssthresh:42242 notsent:89776 minrtt:21.89
1619715094.804914, 	 reno wscale:8,9 rto:232 rtt:31.992/11.338 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 bytes_acked:23169 segs_out:44 segs_in:9 data_segs_out:42 send 9.4Mbps lastsnd:4 lastrcv:52 lastack:4 pacing_rate 18.8Mbps delivery_rate 5.7Mbps busy:52ms unacked:26 rcv_space:14480 rcv_ssthresh:42242 notsent:49232 minrtt:21.89
1619715094.836982, 	 reno wscale:8,9 rto:232 rtt:30.79/2.149 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:52 bytes_acked:60817 segs_out:94 segs_in:22 data_segs_out:92 send 19.6Mbps lastrcv:80 pacing_rate 39.1Mbps delivery_rate 9.3Mbps busy:80ms unacked:50 rcv_space:14480 rcv_ssthresh:42242 notsent:317112 minrtt:21.89
1619715094.864920, 	 reno wscale:8,9 rto:240 rtt:39.525/6.633 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:80 bytes_acked:101361 segs_out:151 segs_in:36 data_segs_out:149 send 23.4Mbps lastrcv:112 pacing_rate 46.9Mbps delivery_rate 9.9Mbps busy:112ms unacked:79 rcv_space:14480 rcv_ssthresh:42242 notsent:495216 minrtt:21.89
1619715094.896830, 	 reno wscale:8,9 rto:252 rtt:51.866/8.753 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 bytes_acked:137561 segs_out:202 segs_in:47 data_segs_out:200 send 23.5Mbps lastsnd:4 lastrcv:148 lastack:4 pacing_rate 46.9Mbps delivery_rate 10.0Mbps busy:148ms unacked:105 rcv_space:14480 rcv_ssthresh:42242 notsent:421368 minrtt:21.89
1619715094.937621, 	 reno wscale:8,9 rto:272 rtt:69.836/13.103 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:138 bytes_acked:185345 segs_out:268 segs_in:58 data_segs_out:266 send 22.9Mbps lastsnd:4 lastrcv:188 lastack:4 pacing_rate 45.8Mbps delivery_rate 9.7Mbps busy:188ms unacked:138 rcv_space:14480 rcv_ssthresh:42242 notsent:586440 minrtt:21.89
1619715094.970482, 	 reno wscale:8,9 rto:288 rtt:84.184/14.235 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:162 bytes_acked:220097 segs_out:316 segs_in:66 data_segs_out:314 send 22.3Mbps lastsnd:4 lastrcv:216 lastack:4 pacing_rate 44.6Mbps delivery_rate 9.7Mbps busy:216ms unacked:162 rcv_space:14480 rcv_ssthresh:42242 notsent:516936 minrtt:21.89
1619715094.999076, 	 reno wscale:8,9 rto:300 rtt:98.481/14.665 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:186 bytes_acked:254849 segs_out:364 segs_in:74 data_segs_out:362 send 21.9Mbps lastrcv:244 pacing_rate 43.8Mbps delivery_rate 9.4Mbps busy:244ms unacked:186 rcv_space:14480 rcv_ssthresh:42242 notsent:447432 minrtt:21.89
1619715095.026910, 	 reno wscale:8,9 rto:316 rtt:114.402/14.997 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:210 bytes_acked:289601 segs_out:412 segs_in:82 data_segs_out:410 send 21.3Mbps lastrcv:272 pacing_rate 42.5Mbps delivery_rate 9.6Mbps busy:272ms unacked:210 rcv_space:14480 rcv_ssthresh:42242 notsent:443088 minrtt:21.89
